Review_Text,Rating,Date,App_Name
"The app used to work great. But the past month when my card auto reloads from venmo, it won't update the amount and has been stuck on the same number for weeks. I can't delete or add new credit cards, it's completely broken. I just get an error message every time and I can't get it to fix. I'm at a loss and it's very frustrating.",2,2026-07-27 05:18:24,com.starbucks.mobilecard
"love it! very EZ full of color, EZ to navigate.",5,2026-07-27 05:17:32,com.starbucks.mobilecard
Excellent amazing,5,2026-07-27 01:25:57,com.starbucks.mobilecard
Great app! Fast pick up,5,2026-07-26 23:36:43,com.starbucks.mobilecard
"Super Convenient...a little expensive though, right?",5,2026-07-26 22:49:24,com.starbucks.mobilecard
"I've never had an issue and have been using the app for over 6 years or so. today I went to pay via the app, as I always do, and this is what I got. What does this mean?? ""UNKNOWN AGE, WE ARE UNABLE TO VERIFY YOUR AGE WITH THE PLAY STORE. IF YOU ARE UNDER 18 ASK YOUR PARENT IR GUARDIAN FOR ASSISTANCE""",1,2026-07-26 22:46:56,com.starbucks.mobilecard
App is full of bugs exactly at the moment of fulfillment where you expect to get a clear outcome and instead it spins endlessly and often fails,2,2026-07-26 22:37:29,com.starbucks.mobilecard
stop nagging me to rate your app!,1,2026-07-26 19:46:40,com.starbucks.mobilecard
"Until recently, I was able to add a tip through the app. That function has been disabled or removed. Please reinstate it.",1,2026-07-26 19:41:24,com.starbucks.mobilecard
I was logged out. Then I can't log in. I go to reset my password. I still can't log in with the password I just reset it to. It's knd of annoying when I have money on my account I can't access.,1,2026-07-26 18:39:28,com.starbucks.mobilecard
"every half a year I need to use this app it asks for updates and require a sign in again, it just 2 buttons to buy a coffee why update every time qoth loss of auth",1,2026-07-26 18:08:09,com.starbucks.mobilecard
Easy to use.,5,2026-07-26 17:36:26,com.starbucks.mobilecard
outstanding customer service.,5,2026-07-26 14:38:22,com.starbucks.mobilecard
"Just downloaded the upate, and now I can not sign into my account.",1,2026-07-26 08:52:44,com.starbucks.mobilecard
love Starbucks,5,2026-07-26 07:22:23,com.starbucks.mobilecard
keeps asking for age verification like bro I'm 32 yrs old I just want my Frappuccino without the issues lol,1,2026-07-26 07:13:43,com.starbucks.mobilecard
great service,5,2026-07-26 03:34:18,com.starbucks.mobilecard
Love the protein milk options after the gym!,5,2026-07-26 03:19:14,com.starbucks.mobilecard
"stupid app is not letting me login.. it's asking for an age verification, but does NOT provide a link or any help! 🤬😡",1,2026-07-26 03:01:52,com.starbucks.mobilecard
the app is having age less than 18 error for no reason,1,2026-07-26 00:11:56,com.starbucks.mobilecard
easy to use especially when it's busy,5,2026-07-25 21:50:25,com.starbucks.mobilecard
I can't use my app because it's asking me to verify age and not giving me the option to do so.,1,2026-07-25 21:39:41,com.starbucks.mobilecard
Their employees are awesome always GREAT service and GREAT coffee to❤️,5,2026-07-25 20:46:55,com.starbucks.mobilecard
age error in latest version,1,2026-07-25 20:32:22,com.starbucks.mobilecard
"APP STOPPED WORKING! AGE VERIFICATION FAIL! been using the app for years to order, now when I open it says failed to verify my age in the app store! I checked and my app store age IS correct and verified, uninstalled, wiped the storage on the app, and even when I open it I dont get the option to start a new account or anything! Just jumps to the page where it says it cant verify my age and theres no option to do ANYTHJNG further to fix it! its infuriating honestly.",1,2026-07-25 20:20:26,com.starbucks.mobilecard
no wait exactly what I ordered,5,2026-07-25 19:07:06,com.starbucks.mobilecard
nice,5,2026-07-25 19:02:22,com.starbucks.mobilecard
"Can't update information through app. Keep getting ""a system error has occurred.""",1,2026-07-25 18:07:06,com.starbucks.mobilecard
the people running the drive through don't know what they are doing they charge you for what you get and you try to reload they charge you for the next person also they need to check the people out more before they hire them in Lebanon ind.,1,2026-07-25 17:42:23,com.starbucks.mobilecard
SO EASY!,5,2026-07-25 16:55:30,com.starbucks.mobilecard
ok,5,2026-07-25 15:58:48,com.starbucks.mobilecard
I have tried four separate times to order via the app in the last month and none worked. at one pint the search tool couldn't find cake pops. I have reinstalled it more than once and nothing changes.,2,2026-07-25 15:53:36,com.starbucks.mobilecard
1 star for charging $1 per pump of syrup on UberEats and DoorDash,1,2026-07-25 15:38:29,com.starbucks.mobilecard
needs a dark/night mode setting,1,2026-07-25 02:49:20,com.starbucks.mobilecard
easy to use,5,2026-07-25 02:03:17,com.starbucks.mobilecard
"I hate Starbucks and how they treat their employees and customers. Find an alternative, like Caribou Coffee or locally owned shops. They only give you 1 shot of espresso in the two smallest sizes and 1.5 shots in the Venti. You're paying for milk and watered down espresso. Zero stars if I could rate it accordingly.",1,2026-07-25 01:34:34,com.starbucks.mobilecard
"What is there that isn't great? Great app, great coffee, great service. Every thing is perfect. And delicious. Oh, the prices, they are not so great. Such is the price of success",5,2026-07-24 23:58:34,com.starbucks.mobilecard
do not like the update can confirm my age even even though my age has already been verified with google.,2,2026-07-24 23:43:19,com.starbucks.mobilecard
No store around me will allow customers to order from the app.,1,2026-07-24 22:56:29,com.starbucks.mobilecard
So easy to use! Love getting a quick coffee at my finger tips.,5,2026-07-24 21:55:07,com.starbucks.mobilecard
works well wish you could pay cash on pickup as an option,5,2026-07-24 21:48:58,com.starbucks.mobilecard
"The point system is a joke I spent $65 in one day and got maybe 10 points if that, on multiple occasions.",1,2026-07-24 21:12:10,com.starbucks.mobilecard
"star bucks is the coffee brand I always drink but the app itself is at an unknown age glitched and sign in too. all apps need to ask for age, inside of the apps to fill out because Google Play is glitching out a lot. the website is perfectly fine. also a golden goose customer is an extremely loyal customer and keeps coming back for more of the brand products of purchase.",1,2026-07-24 20:26:12,com.starbucks.mobilecard
I love everything about Starbucks,5,2026-07-24 20:24:46,com.starbucks.mobilecard
need to simplify joincards,4,2026-07-24 19:48:27,com.starbucks.mobilecard
App keeps saying it can't verify my age so I can't use it. Have tried everything to fix it. Age is correct..I'm old. Dont have time to log i to the web everytime to order.,1,2026-07-24 19:24:14,com.starbucks.mobilecard
easy to use,5,2026-07-24 17:00:33,com.starbucks.mobilecard
"User friendly. Makes ordering quick, easy, and convenient.",5,2026-07-24 16:53:29,com.starbucks.mobilecard
locked me out and offers no resolution,1,2026-07-24 16:09:36,com.starbucks.mobilecard
so easy to make a mobile order!,5,2026-07-24 15:49:55,com.starbucks.mobilecard
